Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Yatri Inn,Shivaji Nagar,4.2,31.0,2906,724,2.7 km drive to Hussain Sagar Lake,True,False,3630
Super Collection O De Alphabet Hotel,Bahadurpally,4.3,23.0,1867,364,Not provided,True,False,2231
Hotel KASS,Jeedimetla,3.7,91.0,3999,817,17.0 km from city centre,True,False,4816
"Treebo Virat Residency, US Consulate",Gachibowli,4.2,156.0,2650,611,"1.1 km drive to US Consulate, Hyderabad",True,False,3261
Super Townhouse Kukatpally formerly SV Royal,Kukatpally,4.0,33.0,2164,404,Not provided,True,False,2568
HOTEL VR ASHOKA GRAND,Hafeezpet,3.7,65.0,1999,553,Not provided,True,False,2552
Horizon Residency,Madhapur,3.3,628.0,1077,278,Not provided,True,False,1355
Oriva Vinflora Residency,Sri Nagar Colony,4.5,13.0,4139,962,Not provided,True,False,5101
Hotel SVM Grand- Medipally,Boduppal,3.7,43.0,3878,860,Not provided,True,False,4738
Treebo Destination Inn,Punjagutta,3.7,121.0,2713,625,Not provided,True,False,3338
FabHotel Golden Hitech,Madhapur,3.9,68.0,1447,399,Not provided,True,False,1846
Palladium Luxury Suites Unit I,Gachibowli,4.1,71.0,3139,641,Not provided,True,False,3780
Treebo Premium Metropolis,Shivaji Nagar,3.7,564.0,2953,681,2.8 km drive to Hussain Sagar Lake,True,False,3634
Treebo Tee,Chintalakunta,3.8,211.0,2262,521,Not provided,True,False,2783
The Nectar Hotel,Nampally,4.1,8.0,2098,560,8 minutes walk to Nampally Railway Station,True,False,2658
Grand Manor Suites,Chintalmet,3.9,15.0,3627,741,Not provided,True,False,4368
Hotel SVM Palace,Koti,3.7,13.0,2062,521,2.6 km drive to Salar Jung Museum,True,False,2583
Super Collection O QUALIA PRIME HOTEL NEAR NEXUS MALL,Kukatpally Housing Board Colony,4.3,101.0,1549,302,2.5 km drive to Miyapur Metro Station,True,False,1851
GIS Legacy Banjara,Banjara Hills,3.5,266.0,1790,504,Not provided,True,False,2294
Prestige Nirvana Club,Rajendra Nagar,3.7,10.0,4054,923,Not provided,True,False,4977
Hotel Minerva Grand,Himayat Nagar,4.1,558.0,3914,903,1.8 km drive to Hussain Sagar Lake,True,False,4817
FabHotel Aamantran & Banquet Halls,Kavadiguda,3.6,89.0,1811,499,2.8 km drive to Hussain Sagar Lake,True,False,2310
FabHotel JKC Grand,Madhapur,3.9,66.0,1537,424,Not provided,True,False,1961
Hotel Aruna Dwraka Homes,Pocharam,3.8,4.0,1453,362,23.9 km from city centre,True,False,1815
HOTEL SITARA GRAND BANJARA HILLS,Banjara Hills,3.3,491.0,3382,874,Not provided,True,False,4256
Super Townhouse De Alphabet Karmanghat,Saroornagar,4.3,78.0,2193,428,Not provided,True,False,2621
iROOMZ Hotel Grand Aarvi Suites,Kukatpally Housing Board Colony,,,1569,390,2.6 km drive to Miyapur Metro Station,True,False,1959
Super Collection O Rcc Blizz,Hafeezpet,4.3,96.0,1648,321,Not provided,True,False,1969
Hotel 7 Hills,Madhapur,,,1292,322,Not provided,True,False,1614
FabHotel Pride Inn,Hitec City,3.8,331.0,1809,498,Not provided,False,False,2307
Super Hotel O Golden Hive Madhapur Near Shilparamam,Madhapur,3.8,396.0,1411,275,Not provided,True,False,1686
Super Townhouse Nanak Ram Guda Near WaveRock SEZ,Nanakram Guda,3.4,65.0,1567,293,"2.9 km drive to US Consulate, Hyderabad",True,False,1860
Hotel O RBS Classic Stay Boduppal,Narapally,4.5,26.0,1135,221,Not provided,True,False,1356
Super Townhouse Oak Kompally,Jeedimetla,4.9,33.0,1967,384,16.7 km from city centre,True,False,2351
Townhouse De Alphabet,Bolarum,2.9,263.0,1278,229,16.9 km from city centre,True,False,1507
The Vantage Inn,Gachibowli,4.4,49.0,3732,861,"3 minutes walk to US Consulate, Hyderabad",True,False,4593
Super Hotel O Qualia Miyapur,Hafeezpet,3.8,324.0,1385,270,Not provided,True,False,1655
Super Collection O Sanath Nagar Near Railway Station,Sanath Nagar,4.7,9.0,1467,286,Not provided,True,False,1753
Anika Suites,Gachibowli,3.8,76.0,2278,564,Not provided,True,False,2842
Treebo Srico,Banjara Hills,3.4,170.0,2330,537,Not provided,True,False,2867
FabHotel Namaha Suites,Shamshabad,3.5,59.0,1583,436,8.5 km drive to Rajiv Gandhi International Airport,False,False,2019
Hotel O METRO INN,Shivaji Nagar,3.9,49.0,1972,385,2.7 km drive to Hussain Sagar Lake,True,False,2357
FabHotel Broholic Suites I,Gachibowli,3.6,9.0,1266,349,"2.8 km drive to US Consulate, Hyderabad",True,False,1615
FabExpress Airport Stay Inn,Near Hyderabad Airport,3.3,65.0,1312,361,6.8 km drive to Rajiv Gandhi International Airport,True,False,1673
Super Collection O Rio Kondapur Near Rahavendra Colony,Kondapur,3.7,71.0,1205,239,Not provided,True,False,1444
Ranjit Residency,Secunderabad,3.4,260.0,888,246,2.4 km drive to Hussain Sagar Lake,True,False,1134
FabHotel Pride Inn Financia,Gachibowli,3.9,86.0,1448,399,Not provided,True,False,1847
Hotel Sri Sai Regency new,Himayat Nagar,3.1,44.0,1142,273,2.4 km drive to Hussain Sagar Lake,True,False,1415
Super Collection O Q Suites Madhapur,Borabanda,4.0,47.0,1311,256,Not provided,True,False,1567
Hotel Sai Prakash,Abids,2.8,248.0,1168,269,2.7 km drive to Hussain Sagar Lake,True,False,1437
Treebo Fort Club,Attapur,3.8,101.0,2327,536,Not provided,True,False,2863
Super Townhouse Rcc Premier Sr Nagar,Balkampet,4.3,46.0,2190,427,Not provided,True,False,2617
Amrutha Castle,Khairatabad,2.9,1233.0,3077,772,8 minutes walk to Hussain Sagar Lake,True,False,3849
Hotel O Qualia Homes Kondapur,Gachibowli,3.7,175.0,1135,221,Not provided,True,False,1356
Super Collection O Casa Grand Hotels Nacharam,Nacharam Mallapur Road,3.8,96.0,2331,455,14.0 km from city centre,True,False,2786
Hotel Sky Park,Shamshabad,3.6,202.0,2868,873,8.3 km drive to Rajiv Gandhi International Airport,True,False,3741
Hotel Sky View Suites,Gachibowli,3.6,52.0,1437,378,Not provided,True,False,1815
Hotel Taj Jubilee Hills,Jubilee Hills,3.6,113.0,3993,1096,Not provided,True,False,5089
Hotel VJR,Abdullapurmet,3.6,115.0,1991,503,31.0 km from city centre,True,False,2494
Hotel La Premier,Madhapur,3.4,8.0,3459,798,Not provided,True,False,4257
FabHotel Udipi's Vihar,Kondapur,4.2,61.0,1449,399,Not provided,True,False,1848
HOTEL SWAGATH GRAND Suchitra,Jeedimetla,3.4,340.0,3150,378,16.4 km from city centre,True,False,3528
Super Townhouse Kondapur Near Botanical Garden,Kondapur,4.4,65.0,2107,419,Not provided,True,False,2526
Our Nest Banjara,Jubilee Hills,3.7,329.0,2106,552,Not provided,True,False,2658
Super Capital O Rudra Grand Near Kondapur x Road,Kondapur,3.8,291.0,4833,943,Not provided,True,False,5776
Hotel Aahwanam Elite Grand,Vanasthalipuram,3.8,8.0,2515,588,Not provided,True,False,3103
Super Hotel O RELAX INN,Erragadda,4.8,11.0,1265,247,Not provided,True,False,1512
FabHotel Pearl City HiTech City,Hitec City,3.8,165.0,2079,573,Not provided,False,False,2652
Elite Rooms,Sri Nagar Colony,3.5,102.0,1176,287,Not provided,True,False,1463
FabHotel Serenity,Gachibowli,3.6,65.0,1855,511,"8 minutes walk to AIG Gachibowli, Hyderabad",True,False,2366
Hotel O Red Stone Hotels,Gachibowli,3.7,23.0,1100,215,Not provided,True,False,1315
FabHotel Metro,Shivaji Nagar,3.5,14.0,2054,554,2.7 km drive to Hussain Sagar Lake,True,False,2608
Super Capital O Saharsh Grand Near Shilparamam,Kondapur,3.7,393.0,1515,295,Not provided,True,False,1810
Hotel Royal Suites and  Rooms,Gachibowli,2.7,58.0,1976,462,"10 minutes walk to AIG Gachibowli, Hyderabad",True,False,2438
Super Townhouse RCC Sunrise,Begumpet,3.9,171.0,1975,392,Not provided,True,False,2367
Serenity La Vista,Hitec City,4.1,262.0,4093,836,Not provided,True,False,4929
FabHotel WR Grand I,Shivaji Nagar,3.2,4.0,1697,405,8.1 km from city centre,True,False,2102
Super Collection O Gachibowli formerly Vinayaka,Gachibowli,3.3,199.0,1389,264,Not provided,True,False,1653
Hotel Gayathri Residency,Abids,3.2,11.0,1335,362,2.9 km drive to Hussain Sagar Lake,True,False,1697
Super Collection O Secunderabad-II,Bowenpally,3.9,206.0,1607,313,10.2 km from city centre,True,False,1920
Hotel O Qualia Nallagandla,Gopanapalli,4.3,90.0,1943,379,Not provided,True,False,2322
HOTEL TULIPS GRAND,Pocharam,4.3,70.0,3720,760,24.3 km from city centre,True,False,4480
Super Collection O RCC Pristine,Yella Reddy Guda,4.2,180.0,1978,376,Not provided,True,False,2354
FabHotel Sri Karthikeya Grand,Kukatpally Housing Board Colony,4.2,80.0,1268,349,2.8 km drive to Miyapur Metro Station,True,False,1617
The Grand Plaza,Abids,3.6,61.0,1518,337,2.4 km drive to Hussain Sagar Lake,False,False,1855
Hotel Eagle Grand,Shamshabad,3.6,134.0,2432,540,8.2 km drive to Rajiv Gandhi International Airport,True,False,2972
Hotel O Landcorp Hotels,Madhapur,3.4,110.0,1024,200,Not provided,True,False,1224
Super Townhouse Begumpet Near Hyderabad Central,Ameerpet,3.3,291.0,2063,402,Not provided,True,False,2465
Dash Hotels - Affordable Luxury,Hyderguda,3.8,103.0,2648,548,Not provided,True,False,3196
FabExpress Broholic Suites,Kukatpally,3.4,81.0,1267,349,9 minutes walk to Harsha Hospital,True,False,1616
Hotel Fortune Heights,Shamshabad,3.6,374.0,1521,183,8.7 km drive to Rajiv Gandhi International Airport,True,False,1704
SSR Grand - CannyChoice Affiliate Hotel,Chandanagar,3.6,103.0,1734,524,Not provided,True,False,2258
FabHotel Lio7 Grand,Hastinapuram,4.2,51.0,1628,449,Not provided,True,False,2077
Hotel Kinara Grand,Yella Reddy Guda,3.6,707.0,3560,920,Not provided,True,False,4480
Super Townhouse Oak LB Nagar Ramoji formerly N7 Elite,Champapet,3.6,148.0,1751,341,Not provided,True,False,2092
FabHotel Prime AM Suites,Secunderabad,4.2,9.0,2895,798,2.4 km drive to Hussain Sagar Lake,True,False,3693
Quality Inn Residency,Abids,3.4,413.0,3188,707,2.8 km drive to Hussain Sagar Lake,True,False,3895
Grand Continent Secunderabad A Sarovar Portico Affiliate Hotel,Secunderabad,3.9,75.0,4050,486,2.8 km drive to Hussain Sagar Lake,True,False,4536
Super Townhouse CASA GRAND HIMAYATNAGAR,Narayanguda,3.7,18.0,1988,388,Not provided,True,False,2376
FabHotel VKs,Suraram,3.9,16.0,1666,443,Not provided,True,False,2109
Super Collection O Halcyon SS Grand,Suraram,3.7,46.0,1546,302,Not provided,True,False,1848
Hotel O Langar Houz Near Golconda Fort,Langar Houz,3.5,51.0,1018,202,Not provided,True,False,1220
Hotel OAK by Signature,Shamshabad,4.1,2424.0,2195,575,8.5 km drive to Rajiv Gandhi International Airport,True,False,2770
Hotel O Ab Residency Near Miraj Cinemas - Shalini Shivani,Saroornagar,3.6,49.0,1240,242,Not provided,True,False,1482
Townhouse S Continental,Kachiguda,2.9,96.0,1183,212,Not provided,True,False,1395
HOTEL SITARA GRAND KUKATPALLY,Kukatpally Housing Board Colony,3.0,604.0,2685,628,Not provided,True,False,3313
FabHotel Royal Signature,Madhapur,3.6,13.0,1802,430,Not provided,True,False,2232
FabExpress The Dream Elite,Shaikpet,3.3,23.0,1131,311,Not provided,True,False,1442
FabHotel SK Grand,Madhapur,3.8,24.0,1389,361,Not provided,True,False,1750
vrindavan   comfort  inn,Somajiguda,3.1,155.0,925,205,2.4 km drive to Hussain Sagar Lake,True,False,1130
Treebo J A Royal Suites Manikonda,Manikonda,3.5,68.0,2380,548,Not provided,True,False,2928
FabExpress D Grand,Kukatpally,3.7,13.0,1086,299,2.9 km drive to Miyapur Metro Station,True,False,1385
Treebo Pride Inn Botanica,Gachibowli,3.7,189.0,1896,437,Not provided,True,False,2333
Super Hotel O RBS Classic Stay Nacharam Mallapur Road,Mallapur,4.0,27.0,1099,214,16.7 km from city centre,True,False,1313
FabHotel SSR Fern Suites,Miyapur,3.6,51.0,1900,523,Not provided,True,False,2423
HOTEL SITARA PARADISE AMEERPET,Punjagutta,3.8,1008.0,2149,445,Not provided,True,False,2594
Hotel O The Botanica Grand,Kondapur,3.7,143.0,1219,238,Not provided,True,False,1457
Hotel Stay Inn,Ramgopalpet,3.8,288.0,2388,494,4 minutes walk to Hussain Sagar Lake,True,False,2882
Cosy Banjara,Somajiguda,3.8,331.0,1535,314,2.0 km drive to Hussain Sagar Lake,True,False,1849
Super Townhouse Eaglewood Gachibowli,Gachibowli,3.0,112.0,1595,285,Not provided,True,False,1880
HOTEL SRIRAMA EMPIRE,Gachibowli,3.2,126.0,1128,324,"1.2 km drive to US Consulate, Hyderabad",True,False,1452
Super Collection O SRP LUXURY ROOMS,Bahadurpally,3.7,41.0,1405,274,Not provided,True,False,1679
Arjuna Luxury Rooms,Gachibowli,4.0,50.0,1620,396,"990 m drive to US Consulate, Hyderabad",True,False,2016
SRI  VENGAMAMBA HOTELS,Uppal,3.5,66.0,2940,678,Not provided,True,False,3618
The Palazzo,Kukatpally Housing Board Colony,3.5,288.0,1940,454,Not provided,True,False,2394
Frenotel Secunderabad,Ramgopalpet,,,1489,304,6 minutes walk to Hussain Sagar Lake,True,False,1793
Townhouse Gachibowli Near Gopichand Academy,Gachibowli,4.6,10.0,1930,403,Not provided,True,False,2333
Inndoors Lodge,Gachibowli,3.4,142.0,1150,286,"9 minutes walk to AIG Gachibowli, Hyderabad",True,False,1436
HOTEL NEEM TREE - HYDERABAD AIRPORT,Shamshabad,3.5,532.0,1349,276,8.9 km drive to Rajiv Gandhi International Airport,True,False,1625
Welkin Hotel,Ramgopalpet,3.7,235.0,2663,739,1.8 km drive to Hussain Sagar Lake,True,False,3402
Super Townhouse Begumpet Near Metro Stn formerly Townvilla,Ameerpet,3.7,336.0,1983,387,960 m drive to Aditya Trade Center,True,False,2370
Itsy Hotels Aflah,Nampally,3.7,88.0,1612,380,10 minutes walk to Nampally Railway Station,True,False,1992
Hotel Watan Residency,Feelkhana,3.5,68.0,806,201,1.8 km drive to Salar Jung Museum,True,False,1007
Super Hotel O RBS ECIL,Kapra,3.5,11.0,1042,203,17.4 km from city centre,True,False,1245
Hotel O Hanuma Residency,LB Nagar,1.8,43.0,781,140,Not provided,True,False,921
Super Hotel O Madhapur VIP Hills,Madhapur,2.7,25.0,1496,279,Not provided,True,False,1775
HOTEL DOLPHIN,Kukatpally Housing Board Colony,3.3,11.0,1651,366,Not provided,True,False,2017
Super Hotel O New Cyber Grand Madhapur,Madhapur,3.7,59.0,1503,293,Not provided,True,False,1796
Hotel O Living Tree In,Alwal,3.9,7.0,1305,255,16.9 km from city centre,True,False,1560
Hotel SVM Grand bachupally,Nizampet,3.4,19.0,2461,621,Not provided,True,False,3082
Hotel O Shiridi Residency Near Birla Mandir,Abids,3.4,107.0,984,195,3.0 km drive to Salar Jung Museum,True,False,1179
Itsy Hotels Arastu Inn,Redhills,3.6,354.0,1912,441,Not provided,True,False,2353
FabHotel Blue Dawn,Gachibowli,3.1,20.0,1883,455,Not provided,True,False,2338
FabHotel Maruthi Residency,Redhills,3.5,54.0,1628,449,2.9 km drive to Hussain Sagar Lake,True,False,2077
Innzoy Hotels,Chitrapuri Colony,4.4,8.0,1639,378,Not provided,True,False,2017
Hotel O Near Dilsuknagar Metro,Kothapet,4.0,15.0,1273,248,Not provided,True,False,1521
Destino By Halcyon Hotels,Hitec City,3.5,93.0,1350,458,Not provided,True,False,1808
FabHotel Dream Connect,Narsingi,4.0,4.0,1591,380,Not provided,True,False,1971
Smart Stay Luxe Hitech city,Gachibowli,3.3,68.0,1202,311,Not provided,True,False,1513
FabHotel Direct CheckIn,Hitech City,3.5,68.0,1492,411,Not provided,True,False,1903
Super Collection O Malkajgiri formerly Serene Woods,Malkajgiri,3.6,105.0,1264,247,13.5 km from city centre,True,False,1511
"Treebo Acsys, Gachibowli",Gachibowli,3.4,63.0,3747,864,Not provided,True,False,4611
Hotel Haridwar,Koti,3.3,633.0,675,187,2.8 km drive to Salar Jung Museum,False,False,862
Hotel O Perfect Stay,Puppalaguda,3.6,73.0,970,189,Not provided,True,False,1159
Hotel Tanisha Jubilee,Jubilee Hills,3.1,228.0,2335,546,Not provided,True,False,2881
Harvey s Hotels Gachibowli,Gachibowli,3.3,39.0,4836,988,"2 minutes walk to US Consulate, Hyderabad",True,False,5824
Olympia Inn,Sivarampalli,3.5,106.0,1661,386,Not provided,True,False,2047
Super Collection O Mythri Hotel,Moula Ali,3.2,87.0,1151,225,17.4 km from city centre,True,False,1376
Sri Sampoorna Hotel,Pedda Amberpet,3.1,58.0,1952,404,25.6 km from city centre,True,False,2356
FabHotel Grand Broholic,Hafeezpet,3.9,27.0,957,264,Not provided,True,False,1221
Hotel Rainbow International,Shamshabad,1.4,33.0,2280,512,8.5 km drive to Rajiv Gandhi International Airport,True,False,2792
Hotel O Sai Mansion,Malkajgiri,3.9,58.0,1153,229,13.3 km from city centre,True,False,1382
Hotel Silicon Ville,Gachibowli,3.5,140.0,2754,570,Not provided,True,False,3324
Hotel O RBS Square Langer Houz,Langar Houz,3.6,31.0,1288,251,2.7 km drive to Golconda Fort,True,False,1539
Hotel Asian Inn,Near Nampally Train Station,3.4,339.0,1050,261,2.4 km drive to Hussain Sagar Lake,False,False,1311
HOTEL SVM GRAND Banjara,Banjara Hills,2.9,36.0,3267,827,2.4 km drive to Hussain Sagar Lake,True,False,4094
Super Townhouse De Alphabet,Kondapur,3.5,80.0,1676,327,Not provided,True,False,2003
The Balcony Suites,Manchirevula,4.5,17.0,2388,494,Not provided,True,False,2882
HIGHWAY GRAND RESIDENCY,Venkat Nagar Colony,3.0,132.0,1194,254,Not provided,True,False,1448
Townhouse Shamshabad Near Airport,Shamshabad,3.5,25.0,1934,377,9.8 km drive to Rajiv Gandhi International Airport,True,False,2311
FabHotel Rooms 27,Madhapur,3.9,33.0,1404,387,Not provided,True,False,1791
Super Collection O Gachibowli Phase,Gachibowli,4.2,43.0,1671,312,"2.8 km drive to US Consulate, Hyderabad",True,False,1983
Hotel Aditya Inn Gachibowli,Gachibowli,3.3,86.0,2694,630,Not provided,True,False,3324
Hotel O Elite Stay Near Habsiguda Metro Station,Malkajgiri,3.8,61.0,1020,199,13.7 km from city centre,True,False,1219
FabExpress Golden Gate,Madhapur,3.3,32.0,1267,349,Not provided,True,False,1616
Super Hotel O Dk Reddy Square,Moula Ali,3.6,53.0,1153,229,17.5 km from city centre,True,False,1382
Hotel KINARA GRAND-Shamshabad,Shamshabad,3.2,614.0,1393,321,7.7 km drive to Rajiv Gandhi International Airport,True,False,1714
HOTEL PARKLANE,Secunderabad,3.2,444.0,1730,399,1.9 km drive to Hussain Sagar Lake,False,False,2129
FabHotel WR Grand,Banjara Hills,3.6,17.0,1854,511,Not provided,True,False,2365
Treebo Navya The Park,Gachibowli,3.5,94.0,2208,520,Not provided,True,False,2728
Super Collection O Medipally,Boduppal,5.0,4.0,1048,204,Not provided,True,False,1252
Treebo The Address Inn Mehdipatnam,Mehdipatnam,3.5,16.0,1826,421,Not provided,True,False,2247
Super Townhouse Oak Rai Durg,Rai Durg,3.4,157.0,1654,309,Not provided,True,False,1963
FabHotel Prestige Castle,Kondapur,3.4,5.0,1484,354,Not provided,True,False,1838
Hotel O Gravity Spaces Gs,Manikonda,2.4,23.0,939,168,Not provided,True,False,1107
Hotel O Srh Pride,Kukatpally,2.8,26.0,1155,225,Not provided,True,False,1380
Royal Reve Hotel,Secunderabad,3.8,294.0,5000,600,2.7 km drive to Hussain Sagar Lake,True,False,5600
Super Collection O SS Metro Ritz,Yella Reddy Guda,3.7,51.0,1352,264,Not provided,True,False,1616
Hotel Park Niveda,Shamshabad,3.8,33.0,2560,599,8.1 km drive to Rajiv Gandhi International Airport,True,False,3159
Super Collection O Sv Grand Patancheru,Patancheru,3.5,29.0,970,189,Not provided,True,False,1159
Super Hotel O Sri Nirvana Edge,Yella Reddy Guda,3.9,19.0,1503,293,Not provided,True,False,1796
Hotel Ambassador,Ramgopalpet,3.7,27.0,1861,380,1.7 km drive to Hussain Sagar Lake,True,False,2241
FabHotel Fortune Begumpet,Begumpet,3.5,81.0,1698,405,3.0 km drive to Hussain Sagar Lake,True,False,2103
Hotel SIndhura Grand,LB Nagar,3.1,99.0,2220,550,Not provided,True,False,2770
Hotel O77115 Vaishnavi Palace,Ramgopalpet,3.3,87.0,1135,221,9 minutes walk to Hussain Sagar Lake,True,False,1356
Hotel SSR Fern Suites,Miyapur,3.4,51.0,1567,405,Not provided,True,False,1972
Hotel Megha City,Basheer Bagh,3.9,274.0,1093,252,1.7 km drive to Hussain Sagar Lake,False,False,1345
Super Townhouse Rio,LB Nagar,3.7,51.0,1062,207,Not provided,True,False,1269
Super Hotel O Holiday Rani Gunj Opp Punjab national bank,Rani Gunj,3.4,186.0,912,178,5 minutes walk to Hussain Sagar Lake,True,False,1090
Super Townhouse VIP Hills Hitech City,Madhapur,3.4,13.0,2448,457,Not provided,True,False,2905
Super Hotel O Elite Stay,Narapally,3.9,32.0,982,195,22.7 km from city centre,True,False,1177
HOTEL SWAGATH GRAND A.S RAO NAGAR,Dr A S Rao Nagar Colony,3.3,230.0,3340,816,17.2 km from city centre,True,False,4156
Capital O Ragas Inn,Vanasthalipuram,3.6,53.0,1011,197,Not provided,True,False,1208
Hotel O Athidhi Stay Inn,Kondapur,2.0,6.0,748,134,Not provided,True,False,882
Super Collection O Vanasthalipuram formerly MG Elite,Chintalakunta,4.1,15.0,1952,364,Not provided,True,False,2316
Priya Residency,Suraram,3.7,25.0,1821,420,Not provided,True,False,2241
Hotel O R Square Uppal,Uppal,3.3,57.0,1156,225,Not provided,True,False,1381
Collection O Alekhya Residency,Khairatabad,3.2,233.0,1426,255,1.2 km drive to Hussain Sagar Lake,True,False,1681
FabExpress Blue Dawn,Madhapur,3.0,16.0,1612,444,Not provided,True,False,2056
Sula Stay,Kukatpally Housing Board Colony,,,2066,428,3.0 km drive to Miyapur Metro Station,True,False,2494
 Hotel In Nova,Punjagutta,3.3,55.0,1197,326,Not provided,True,False,1523
"Hotel O Silverkey ,near RTO office kondapur",Kondapur,2.8,67.0,1140,204,Not provided,True,False,1344
Super Hotel O Lucky Hotels Gachibowli,Gachibowli,3.3,103.0,1411,275,Not provided,True,False,1686
Super Hotel O Vaishnavi Inn,Ramgopalpet,3.3,193.0,1127,210,6 minutes walk to Hussain Sagar Lake,True,False,1337
The Grand Solitaire (SD Road),Secunderabad,2.5,128.0,1944,402,1.9 km drive to Hussain Sagar Lake,True,False,2346
Hotel O Khajaguda,Gachibowli,2.6,141.0,1042,186,Not provided,True,False,1228
Hotel NS Royal Emirates Jubilee,Jubilee Hills,3.8,117.0,4110,1005,Not provided,False,False,5115
Super Townhouse Ragas Grand,Hastinapuram,3.7,28.0,1232,245,Not provided,True,False,1477
Collection O Millennium Grand,Miyapur,3.1,593.0,1963,351,Not provided,True,False,2314
Hotel O RBS NFC Road,Moula Ali,3.9,42.0,960,187,17.9 km from city centre,True,False,1147
Collection O De Alphabet Hotel UMCC,Jeedimetla,3.5,15.0,1551,277,Not provided,True,False,1828
Hotel Shubham Prestige Kandlakoya,Kandlakoi,,,4465,912,Not provided,True,False,5377
Super Hotel O Angel,Jillelguda,,,1352,264,Not provided,True,False,1616
Hotel Abinand Grand BHEL,Bharat Heavy Electricals Limited,3.3,57.0,2424,567,Not provided,True,False,2991
FabHotel Sri Sai Grand Inn,Kukatpally Housing Board Colony,2.5,4.0,1593,380,1.8 km drive to Miyapur Metro Station,True,False,1973
Maruthi Residency Inn & Restaurant,LB Nagar,3.2,89.0,1877,388,Not provided,True,False,2265
Palette - HOTEL STAR GRANDEUR,Madhapur,,,1652,348,Not provided,True,False,2000
Hotel Samrat Presidency,Balanagar,3.1,43.0,2245,525,Not provided,True,False,2770
Super Collection O Sri Balaji Luxury rooms,Gachibowli,3.6,17.0,1224,229,Not provided,True,False,1453
Hotel Grand ashirwad,Shivaji Nagar,2.7,133.0,1474,340,2.3 km drive to Hussain Sagar Lake,True,False,1814
Hotel Golden Leaves,Rai Durg,3.2,123.0,1720,397,Not provided,True,False,2117
Falcons Nest LA RIVIERA,Madhapur,2.8,279.0,1768,361,Not provided,True,False,2129
Hotel O JVP Hotels,Madhapur,3.4,30.0,1265,247,Not provided,True,False,1512
FabExpress Deccan Heritage,Koti,2.9,98.0,1583,436,Not provided,False,False,2019
HZ Inn,Khilwat,3.2,18.0,1214,248,4 minutes walk to Charminar,True,False,1462
HotelN,Madhapur,,,1591,325,Not provided,True,False,1916
FabHotel Broholic,Gachibowli,3.1,53.0,1312,361,Not provided,True,False,1673
Hotel Baba Crystal,Shivaji Nagar,3.2,62.0,819,189,2.5 km drive to Hussain Sagar Lake,True,False,1008
Super Hotel O PR Stay Inn,Kothaguda,3.4,8.0,1383,270,"10 minutes walk to Hyderabad International Convention Centre, Hyderabad",True,False,1653
Hotel Central Park,Basheer Bagh,3.3,155.0,8022,2156,2.1 km drive to Hussain Sagar Lake,True,False,10178
Hotel O R Square Bn Reddy,Hastinapuram,3.4,46.0,858,167,Not provided,True,False,1025
De Alphabet Hotel,Uppal,2.1,16.0,2021,473,Not provided,True,False,2494
Hotel Maya Deluxe,Rani Gunj,3.8,382.0,890,230,6 minutes walk to Hussain Sagar Lake,True,False,1120
FabHotel Air Live,Ameerpet,3.1,13.0,1809,498,10 minutes walk to Aditya Trade Center,True,False,2307
FabHotel Fortune Grand,Chinthal Basthi,3.3,24.0,1628,449,1.8 km drive to Hussain Sagar Lake,True,False,2077
HOTEL SHUBHAM CELEBRATIONS SHAPUR,Chinthal,3.4,81.0,3243,748,Not provided,True,False,3991
